Tow Date,Make,Style,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number,day_of_week
2019-03-21,FORD,4D,BLK,AM56325,IL,701 N. Sacramento,(773) 265-7605,6954486,Thursday
2019-03-21,FORD,4D,BLK,ADS8842,WA,701 N. Sacramento,(773) 265-7605,6954530,Thursday
2019-03-21,FORD,4D,BLK,S483440,IL,701 N. Sacramento,(773) 265-7605,6954557,Thursday
2019-03-21,FORD,4D,WHI,P543419,IL,400 E. Lower Wacker,(312) 744-7550,201043,Thursday
2019-03-21,FORD,LL,SIL,AV44854,IL,701 N. Sacramento,(773) 265-7605,6954478,Thursday
2019-03-21,FORD,LL,BLK,,IL,10300 S. Doty,(773) 785-9752,1719056,Thursday
2019-03-21,FORD,LL,WHI,AV87833,IL,10300 S. Doty,(773) 568-8495,2873702,Thursday
2019-03-21,FORD,LL,WHI,AV87833,IL,10300 S. Doty,(773) 568-8495,2873702,Thursday
2019-03-21,FORD,LL,GRY,ZU54014,IL,10300 S. Doty,(773) 568-8495,2873690,Thursday
2019-03-21,FORD,LL,BLK,AQ42432,IL,10300 S. Doty,(773) 568-8495,2873670,Thursday
2019-03-21,FORD,LL,SIL,AD63239,IL,701 N. Sacramento,(773) 265-7605,6954515,Thursday
2019-03-21,FORD,LL,WHI,2036064B,IL,10300 S. Doty,(773) 568-8495,2873669,Thursday
2019-03-21,FORD,PK,GRY,89492TB,IL,10300 S. Doty,(773) 568-8495,2873689,Thursday
2019-03-21,FORD,PK,RED,1847928B,IL,10300 S. Doty,(773) 568-8495,2873699,Thursday
2019-03-21,FORD,VN,WHI,2165220B,IL,10300 S. Doty,(773) 568-8495,2873692,Thursday
2019-03-21,FORD,VN,GRY,Q563257,IL,701 N. Sacramento,(773) 265-7605,6954546,Thursday
2019-03-21,GMC,LL,GRY,Q739007,IL,701 N. Sacramento,(773) 265-7605,6954482,Thursday
2019-03-21,GMC,LL,WHI,19545PT,IL,701 N. Sacramento,(773) 265-7605,6954550,Thursday
2019-03-21,GMC,LL,SIL,ZZ74558,IL,701 N. Sacramento,(773) 265-7605,6954508,Thursday
2019-03-21,GMC,LL,WHI,Q798562,IL,10300 S. Doty,(773) 568-8495,2873668,Thursday
2019-03-21,HOND,4D,BLK,E204212,IL,701 N. Sacramento,(773) 265-7605,6954544,Thursday
2019-03-21,HOND,4D,MAR,AQ75392,IL,701 N. Sacramento,(773) 265-7605,6954484,Thursday
2019-03-21,HOND,4D,GRY,909LPI,IN,701 N. Sacramento,(773) 265-7605,6954510,Thursday
2019-03-21,HOND,4D,SIL,WSB98,IL,701 N. Sacramento,(773) 265-7605,6954489,Thursday
2019-03-21,HOND,4D,BGE,953T555,IL,701 N. Sacramento,(773) 265-7605,6954511,Thursday
2019-03-21,HOND,4D,WHI,Z742952,IL,701 N. Sacramento,(773) 265-7605,6954487,Thursday
2019-03-21,HOND,4D,GRN,,IL,701 N. Sacramento,(773) 265-7605,6954516,Thursday
2019-03-21,HOND,4T,WHI,Q835486,IL,701 N. Sacramento,(773) 265-7605,6954538,Thursday
2019-03-21,HOND,HB,BLK,BE56107,IL,10300 S. Doty,(773) 568-8495,2873660,Thursday
2019-03-21,HOND,LL,GRN,MAKJR84,IL,400 E. Lower Wacker,(312) 744-7550,201046,Thursday
2019-03-21,HOND,LL,SIL,Q769439,IL,701 N. Sacramento,(773) 265-7605,6954564,Thursday
2019-03-21,HOND,LL,MAR,A968280,IL,400 E. Lower Wacker,(312) 744-7550,201039,Thursday
2019-03-21,HOND,LL,BLK,AX49800,IL,701 N. Sacramento,(773) 265-7605,6954533,Thursday
2019-03-21,HOND,PK,GRY,2536199B,IL,701 N. Sacramento,(773) 265-7605,6954549,Thursday
2019-03-21,HYUN,2T,BLK,AK71004,IL,701 N. Sacramento,(773) 265-7605,6954504,Thursday
2019-03-21,HYUN,4D,SIL,Q801565,IL,701 N. Sacramento,(773) 265-7605,6954553,Thursday
2019-03-21,HYUN,4D,SIL,Y987479,IL,400 E. Lower Wacker,(312) 744-7550,201038,Thursday
2019-03-21,HYUN,4D,WHI,BB15008,IL,10300 S. Doty,(773) 568-8495,2873663,Thursday
2019-03-21,HYUN,4D,SIL,,IL,10300 S. Doty,(773) 568-8495,2873662,Thursday
2019-03-21,HYUN,4D,BLK,BH57859,IL,701 N. Sacramento,(773) 265-7605,6954541,Thursday
2019-03-21,HYUN,4D,BLK,Z109750,IL,701 N. Sacramento,(773) 265-7605,6954514,Thursday
2019-03-21,HYUN,4D,SIL,Q801565,IL,701 N. Sacramento,(773) 265-7605,6954553,Thursday
2019-03-21,INFI,4D,SIL,S654520,IL,701 N. Sacramento,(773) 265-7605,6954479,Thursday
2019-03-21,INFI,4T,SIL,AW27315,IL,701 N. Sacramento,(773) 265-7605,6954503,Thursday
2019-03-21,INFI,LL,BLK,N220758,IL,701 N. Sacramento,(773) 265-7605,6954524,Thursday
2019-03-21,JEEP,LL,GRY,BA58316,IL,701 N. Sacramento,(773) 265-7605,6954532,Thursday
2019-03-21,JEEP,LL,BLK,P125977,IL,701 N. Sacramento,(773) 265-7605,6954471,Thursday
2019-03-21,KIA,4D,GRY,S497474,IL,701 N. Sacramento,(773) 265-7605,6954556,Thursday
2019-03-21,KIA,LL,GRY,Z222741,IL,701 N. Sacramento,(773) 265-7605,6954522,Thursday
2019-03-21,LAND,LL,GRY,AG34640,IL,701 N. Sacramento,(773) 265-7605,6954534,Thursday
2019-03-21,LEXS,4D,MAR,Q936885,IL,701 N. Sacramento,(773) 265-7605,6954490,Thursday
2019-03-21,LEXS,4T,DBL,312EKB,KY,701 N. Sacramento,(773) 265-7605,6954523,Thursday
2019-03-21,LINC,4D,SIL,627U023,IL,701 N. Sacramento,(773) 265-7605,6954509,Thursday
2019-03-21,MAZD,LL,SIL,AK31450,IL,400 E. Lower Wacker,(312) 744-7550,201037,Thursday
2019-03-21,MERC,4D,GRY,SNB622,IL,400 E. Lower Wacker,(312) 744-7550,201035,Thursday
2019-03-21,MERC,4D,SIL,VVVGJC,IL,701 N. Sacramento,(773) 265-7605,6954551,Thursday
2019-03-21,MERC,LL,SIL,BH36392,IL,701 N. Sacramento,(773) 265-7605,6954545,Thursday
2019-03-21,MERZ,2D,BLK,5664264,IL,10300 S. Doty,(773) 568-8495,2873685,Thursday
2019-03-21,MERZ,LL,BLK,AX90859,IL,701 N. Sacramento,(773) 265-7605,6954536,Thursday
2019-03-21,MITS,4D,RED,UYG6329,VA,701 N. Sacramento,(773) 265-7605,6954506,Thursday
2019-03-21,MITS,LL,BLK,V939517,IL,701 N. Sacramento,(773) 265-7605,6954548,Thursday
2019-03-21,NISS,4D,WHI,AH92363,IL,701 N. Sacramento,(773) 265-7605,6954472,Thursday
2019-03-21,NISS,4D,GRY,AX42380,IL,10300 S. Doty,(773) 568-8495,2873693,Thursday
2019-03-21,NISS,4D,BLK,AT54899,IL,701 N. Sacramento,(773) 265-7605,6954512,Thursday
2019-03-21,NISS,4D,GRY,6446WS,IL,10300 S. Doty,(773) 568-8495,2873687,Thursday
2019-03-21,NISS,4D,SIL,BK14080,IL,701 N. Sacramento,(773) 265-7605,6954543,Thursday
2019-03-21,NISS,4D,BLK,ZV99218,IL,10300 S. Doty,(773) 568-8495,2873694,Thursday
2019-03-21,NISS,4D,BLK,V889172,IL,400 E. Lower Wacker,(312) 744-7550,201041,Thursday
2019-03-21,NISS,4D,BLK,997911,IL,701 N. Sacramento,(773) 265-7605,6954492,Thursday
2019-03-21,NISS,4D,BLK,AR87644,IL,701 N. Sacramento,(773) 265-7605,6954513,Thursday
2019-03-21,NISS,4D,SIL,Z838447,IL,10300 S. Doty,(773) 568-8495,2873701,Thursday
2019-03-21,NISS,4D,GRY,DYA3744,MI,701 N. Sacramento,(773) 265-7605,6954531,Thursday
2019-03-21,NISS,4D,SIL,AX14801,IL,701 N. Sacramento,(773) 265-7605,6954563,Thursday
2019-03-21,NISS,4D,BLK,AB30671,IL,701 N. Sacramento,(773) 265-7605,6954495,Thursday
2019-03-21,NISS,4T,BLU,Q836059,IL,701 N. Sacramento,(773) 265-7605,6954528,Thursday
2019-03-21,NISS,4T,BLK,AL94315,IL,701 N. Sacramento,(773) 265-7605,6954477,Thursday
2019-03-21,NISS,LL,WHI,365520,IL,10300 S. Doty,(773) 568-8495,2873700,Thursday
2019-03-21,NISS,LL,WHI,365520,IL,10300 S. Doty,(773) 568-8495,2873700,Thursday
2019-03-21,NISS,LL,BRO,K944981,IL,400 E. Lower Wacker,(312) 744-7550,201032,Thursday
2019-03-21,NISS,LL,BLK,G699676,IL,701 N. Sacramento,(773) 265-7605,6954539,Thursday
2019-03-21,NISS,LL,RED,BB59407,IL,701 N. Sacramento,(773) 265-7605,6954519,Thursday
2019-03-21,NISS,PK,MAR,2184152B,IL,701 N. Sacramento,(773) 265-7605,6954542,Thursday
2019-03-21,OLDS,4D,GRN,BF14074,IL,10300 S. Doty,(773) 568-8495,2873661,Thursday
2019-03-21,PONT,2D,BLU,AX32070,IL,701 N. Sacramento,(773) 265-7605,6954497,Thursday
2019-03-21,PONT,4D,BLK,BE24797,IL,701 N. Sacramento,(773) 265-7605,6954474,Thursday
2019-03-21,PORS,LL,GRY,AB72682,IL,10300 S. Doty,(773) 568-8495,2873672,Thursday
2019-03-21,SATU,2D,BLK,E758973,IL,701 N. Sacramento,(773) 265-7605,6954537,Thursday
2019-03-21,SATU,LL,BLK,S362120,IL,10300 S. Doty,(773) 568-8495,2873691,Thursday
2019-03-21,SUBA,SW,LBL,S772853,IL,701 N. Sacramento,(773) 265-7605,6954476,Thursday
2019-03-21,TOYO,4D,WHI,Z828924,IL,701 N. Sacramento,(773) 265-7605,6954473,Thursday
2019-03-21,TOYT,4D,GRN,AU18639,IL,701 N. Sacramento,(773) 265-7605,6954494,Thursday
2019-03-21,TOYT,4D,TAN,AH25730,IL,701 N. Sacramento,(773) 265-7605,6954559,Thursday
2019-03-21,TOYT,4D,BLU,032J,FL,701 N. Sacramento,(773) 265-7605,6954540,Thursday
2019-03-21,TOYT,4D,BLU,Z254859,IL,701 N. Sacramento,(773) 265-7605,6954555,Thursday
2019-03-21,TOYT,4D,WHI,AJ84781,IL,10300 S. Doty,(773) 568-8495,2873676,Thursday
2019-03-21,TOYT,4D,BLK,AS95588,IL,701 N. Sacramento,(773) 265-7605,6954493,Thursday
2019-03-21,TOYT,4D,TAN,G391239,IL,400 E. Lower Wacker,(312) 744-7550,201040,Thursday
2019-03-21,TOYT,4D,WHI,AU47866,IL,701 N. Sacramento,(773) 265-7605,6954561,Thursday
2019-03-21,TOYT,4D,RED,N337237,IL,400 E. Lower Wacker,(312) 744-7550,201036,Thursday
2019-03-21,TOYT,4T,BLK,Z508405,IL,701 N. Sacramento,(773) 265-7605,6954527,Thursday
2019-03-21,TOYT,LL,GRN,AT90085,IL,701 N. Sacramento,(773) 265-7605,6954499,Thursday
2019-03-21,TOYT,PK,BLK,70060FF,IL,400 E. Lower Wacker,(312) 744-7550,201044,Thursday
2019-03-21,VOLK,2D,YEL,AW18218,IL,701 N. Sacramento,(773) 265-7605,6954491,Thursday
2019-03-21,VOLK,4D,WHI,318753,IL,701 N. Sacramento,(773) 265-7605,6954507,Thursday
2019-03-21,VOLK,4D,WHI,AS82304,IL,10300 S. Doty,(773) 568-8495,2873696,Thursday
2019-03-21,VOLK,4D,GLD,228992,IL,10300 S. Doty,(773) 568-8495,2873666,Thursday
2019-03-21,VOLK,4D,BLK,A982051,IL,701 N. Sacramento,(773) 265-7605,6954554,Thursday
2019-03-21,VOLK,4D,SIL,S61441,IL,701 N. Sacramento,(773) 265-7605,6954558,Thursday
2019-03-21,VOLK,4T,WHI,AM30388,IL,701 N. Sacramento,(773) 265-7605,6954525,Thursday
2019-03-21,VOLK,4T,GRY,DWJ6658,IL,701 N. Sacramento,(773) 265-7605,6954520,Thursday
2019-03-21,VOLK,4T,SIL,AD64170,IL,701 N. Sacramento,(773) 265-7605,6954480,Thursday
2019-03-21,VOLK,4T,WHI,ZZ70418,IL,701 N. Sacramento,(773) 265-7605,6954547,Thursday
2019-03-21,VOLK,4T,WHI,AT87382,IL,701 N. Sacramento,(773) 265-7605,6954526,Thursday
2019-03-02,ACUR,4D,BLK,AS55877,IL,701 N. Sacramento,(773) 265-7605,6954416,Saturday
2019-03-02,ACUR,LL,WHI,AZ68916,IL,701 N. Sacramento,(773) 265-7605,6954358,Saturday
2019-03-02,AUDI,4T,GRY,321U324,IL,701 N. Sacramento,(773) 265-7605,6954348,Saturday
2019-03-02,BMW,4D,SIL,AV69501,IL,701 N. Sacramento,(773) 265-7605,6954429,Saturday
2019-03-02,BUIC,4D,RED,BG81934,IL,701 N. Sacramento,(773) 265-7605,6954456,Saturday
2019-03-02,BUIC,LL,TAN,AS62107,IL,10300 S. Doty,(773) 568-8495,2873633,Saturday
2019-03-02,BUIC,VN,BLK,652U929,IL,701 N. Sacramento,(773) 265-7605,6954363,Saturday
2019-03-02,CHEV,2D,YEL,AV88307,IL,701 N. Sacramento,(773) 265-7605,6954362,Saturday
2019-03-02,CHEV,2D,SIL,AV90650,IL,10300 S. Doty,(773) 568-8495,2873643,Saturday
2019-03-02,CHEV,2T,RED,AL13306,IL,701 N. Sacramento,(773) 265-7605,6954395,Saturday
2019-03-02,CHEV,4D,TAN,BB17782,IL,10300 S. Doty,(773) 568-8495,2873632,Saturday
2019-03-02,CHEV,4D,GRY,Z405844,IL,701 N. Sacramento,(773) 265-7605,6954411,Saturday
2019-03-02,CHEV,4D,GRY,BE24521,IL,701 N. Sacramento,(773) 265-7605,6954375,Saturday
2019-03-02,CHEV,4D,BLK,Q177372,IL,701 N. Sacramento,(773) 265-7605,6954435,Saturday
2019-03-02,CHEV,4D,WHI,Q527141,IL,10300 S. Doty,(773) 568-8495,2873637,Saturday
2019-03-02,CHEV,4T,BLK,AE64407,IL,701 N. Sacramento,(773) 265-7605,6954353,Saturday
2019-03-02,CHEV,4T,WHI,Q380608,IL,701 N. Sacramento,(773) 265-7605,6954334,Saturday
2019-03-02,CHEV,4T,GRY,AP86173,IL,701 N. Sacramento,(773) 265-7605,6954347,Saturday
2019-03-02,CHEV,4T,WHI,DL5267B,IL,10300 S. Doty,(773) 568-8495,2873606,Saturday
2019-03-02,CHEV,LL,SIL,V798753,IL,701 N. Sacramento,(773) 265-7605,6954463,Saturday
2019-03-02,CHEV,LL,BLK,S336999,IL,701 N. Sacramento,(773) 265-7605,6954453,Saturday
2019-03-02,CHEV,LL,SIL,605U746,IL,10300 S. Doty,(773) 568-8495,2873614,Saturday
2019-03-02,CHEV,LL,GRY,P219014,IL,701 N. Sacramento,(773) 265-7605,6954439,Saturday
2019-03-02,CHEV,LL,WHI,S238592,IL,701 N. Sacramento,(773) 265-7605,6954459,Saturday
2019-03-02,CHEV,LL,BLK,AC54525,IL,701 N. Sacramento,(773) 265-7605,6954340,Saturday
2019-03-02,CHEV,LL,BGE,997924,IL,701 N. Sacramento,(773) 265-7605,6954468,Saturday
2019-03-02,CHEV,VN,BGE,AEZ1203,WI,10300 S. Doty,(773) 568-8495,2873595,Saturday
2019-03-02,CHEV,VN,TAN,,IL,10300 S. Doty,(773) 785-9752,1719052,Saturday
2019-03-02,CHRY,4D,GRY,K293901,IN,10300 S. Doty,(773) 568-8495,2873600,Saturday
2019-03-02,CHRY,4D,GLD,130U710,IL,10300 S. Doty,(773) 785-9752,1719055,Saturday
2019-03-02,CHRY,4D,GRY,5849WS,IL,10300 S. Doty,(773) 568-8495,2873635,Saturday
2019-03-02,CHRY,SW,RED,V313564,IL,701 N. Sacramento,(773) 265-7605,6954464,Saturday
2019-03-02,DODG,4D,GRY,Q316509,IL,10300 S. Doty,(773) 568-8495,2873645,Saturday
2019-03-02,DODG,4D,BLK,V492338,IL,701 N. Sacramento,(773) 265-7605,6954430,Saturday
2019-03-02,DODG,LL,RED,675AHG,ND,701 N. Sacramento,(773) 265-7605,6954426,Saturday
2019-03-02,DODG,LL,BLK,,IL,701 N. Sacramento,(773) 265-7605,6954445,Saturday
2019-03-02,DODG,LL,TAN,AQ46768,IL,701 N. Sacramento,(773) 265-7605,6954436,Saturday
2019-03-02,DODG,PK,BLK,1905840B,IL,10300 S. Doty,(773) 785-9752,1719054,Saturday
2019-03-02,DODG,PK,SIL,1442008B,IL,10300 S. Doty,(773) 785-9752,1719047,Saturday
2019-03-02,DODG,PK,WHI,ZH9645,NC,701 N. Sacramento,(773) 265-7605,6954467,Saturday
2019-03-02,DODG,VN,GLD,N215186,IL,10300 S. Doty,(773) 568-8495,2873597,Saturday
2019-03-02,DODG,VN,WHI,AR79614,IL,701 N. Sacramento,(773) 265-7605,6954442,Saturday
2019-03-02,DODG,VN,MAR,A88U901,IL,701 N. Sacramento,(773) 265-7605,6954336,Saturday
2019-03-02,FIAT,2D,GRN,AD58297,IL,701 N. Sacramento,(773) 265-1846,1538489,Saturday
2019-03-02,FORD,4D,SIL,Z473901,IL,10300 S. Doty,(773) 568-8495,2873654,Saturday
2019-03-02,FORD,4D,WHI,AH39960,IL,701 N. Sacramento,(773) 265-7605,6954425,Saturday
2019-03-02,FORD,4D,SIL,AS13940,IL,701 N. Sacramento,(773) 265-7605,6954339,Saturday
2019-03-02,FORD,4D,GLD,Q626975,IL,10300 S. Doty,(773) 568-8495,2873642,Saturday
2019-03-02,FORD,4D,RED,AG23790,IL,701 N. Sacramento,(773) 265-7605,6954378,Saturday
2019-03-02,FORD,4D,TAN,AZ78414,IL,10300 S. Doty,(773) 568-8495,2873598,Saturday
2019-03-02,FORD,4D,BLK,AT75697,IL,10300 S. Doty,(773) 568-8495,2873647,Saturday
2019-03-02,FORD,4D,GRY,BE20810,IL,10300 S. Doty,(773) 568-8495,2873605,Saturday
2019-03-02,FORD,4T,SIL,ZU62252,IL,701 N. Sacramento,(773) 265-7605,6954350,Saturday
2019-03-02,FORD,LL,WHI,3761CC,IL,400 E. Lower Wacker,(312) 744-7550,201026,Saturday
2019-03-02,FORD,LL,BLU,V841290,IL,701 N. Sacramento,(773) 265-7605,6954349,Saturday
2019-03-02,FORD,LL,BLK,AM30736,IL,701 N. Sacramento,(773) 265-7605,6954365,Saturday
2019-03-02,FORD,LL,GRN,,IL,701 N. Sacramento,(773) 265-7605,6954433,Saturday
2019-03-02,FORD,SW,GRN,H686769,IL,10300 S. Doty,(773) 785-9752,1719048,Saturday
2019-03-02,FRHT,TR,WHI,171023H,IL,701 N. Sacramento,(773) 265-1846,1538490,Saturday
2019-03-02,GMC,LL,WHI,Z474783,IL,10300 S. Doty,(773) 568-8495,2873604,Saturday
2019-03-02,GMC,LL,WHI,AE02246,AZ,10300 S. Doty,(773) 568-8495,2873629,Saturday
2019-03-02,HOND,4D,BLK,BF22738,IL,10300 S. Doty,(773) 568-8495,2873648,Saturday
2019-03-02,HOND,4D,TAN,F533994,IL,701 N. Sacramento,(773) 265-7605,6954469,Saturday
2019-03-02,HOND,4T,BLK,R732058,IL,10300 S. Doty,(773) 568-8495,2873621,Saturday
2019-03-02,HOND,4T,BLK,N662122,IL,701 N. Sacramento,(773) 265-7605,6954335,Saturday
2019-03-02,HOND,PK,GRY,2621251B,IL,10300 S. Doty,(773) 568-8495,2873630,Saturday
2019-03-02,HYUN,2D,SIL,BC83738,IL,701 N. Sacramento,(773) 265-7605,6954447,Saturday
2019-03-02,HYUN,4D,SIL,BA27243,IL,10300 S. Doty,(773) 568-8495,2873601,Saturday
2019-03-02,HYUN,4D,BLU,E419737,IL,400 E. Lower Wacker,(312) 744-7550,201002,Saturday
2019-03-02,HYUN,4T,SIL,ZY29474,IL,701 N. Sacramento,(773) 265-7605,6954345,Saturday
2019-03-02,HYUN,4T,WHI,598U961,IL,10300 S. Doty,(773) 568-8495,2873602,Saturday
2019-03-02,INFI,4D,RED,BH39218,IL,10300 S. Doty,(773) 568-8495,2873613,Saturday
2019-03-02,INFI,4D,GRN,AQ81896,IL,701 N. Sacramento,(773) 265-7605,6954460,Saturday
2019-03-02,INFI,4D,SIL,Y171ZS,IL,701 N. Sacramento,(773) 265-7605,6954449,Saturday
2019-03-02,INFI,4D,SIL,,IL,701 N. Sacramento,(773) 265-7605,6954419,Saturday
2019-03-02,INFI,LL,GRY,AW23790,IL,10300 S. Doty,(773) 568-8495,2873651,Saturday
2019-03-02,JEEP,LL,SIL,V757277,IL,701 N. Sacramento,(773) 265-7605,6954440,Saturday
2019-03-02,JEEP,LL,GRY,W56749,IL,701 N. Sacramento,(773) 265-7605,6954443,Saturday
2019-03-02,JEEP,LL,GRY,ZEPPEBH,IL,701 N. Sacramento,(773) 265-7605,6954410,Saturday
2019-03-02,JEEP,LL,GRN,W974AB,MO,701 N. Sacramento,(773) 265-7605,6954462,Saturday
2019-03-02,JEEP,LL,WHI,AS43527,IL,701 N. Sacramento,(773) 265-7605,6954374,Saturday
2019-03-02,JEEP,LL,SIL,BA32095,IL,400 E. Lower Wacker,(312) 744-7550,201025,Saturday
2019-03-02,JEEP,LL,GRY,Q475938,IL,10300 S. Doty,(773) 568-8495,2873639,Saturday
2019-03-02,KIA,4D,BGE,AX25303,IL,701 N. Sacramento,(773) 265-7605,6954457,Saturday
2019-03-02,KIA,4D,GRN,BF39100,IL,701 N. Sacramento,(773) 265-7605,6954371,Saturday
2019-03-02,KIA,VN,SIL,,IL,10300 S. Doty,(773) 568-8495,2873634,Saturday
2019-03-02,LEXS,2T,SIL,9219929,IL,701 N. Sacramento,(773) 265-7605,6954354,Saturday
2019-03-02,LEXS,4D,SIL,G186398,IL,701 N. Sacramento,(773) 265-7605,6954434,Saturday
2019-03-02,LEXS,4T,SIL,AT88588,IL,701 N. Sacramento,(773) 265-7605,6954341,Saturday
2019-03-02,LINC,4D,BLK,BA30563,IL,10300 S. Doty,(773) 785-9752,1719051,Saturday
2019-03-02,MAZD,2D,RED,AT56681,IL,701 N. Sacramento,(773) 265-7605,6954424,Saturday
2019-03-02,MAZD,4D,BLK,Q374677,IL,701 N. Sacramento,(773) 265-7605,6954444,Saturday
2019-03-02,MAZD,4D,RED,AR24246,IL,10300 S. Doty,(773) 568-8495,2873611,Saturday
2019-03-02,MERC,4D,BLK,KKR0447,TX,701 N. Sacramento,(773) 265-7605,6954409,Saturday
2019-03-02,MERC,4D,RED,ZX22439,IL,10300 S. Doty,(773) 568-8495,2873610,Saturday
2019-03-02,MERC,4T,BLK,BA29485,IL,701 N. Sacramento,(773) 265-7605,6954399,Saturday
2019-03-02,MERC,VN,SIL,K102428,IL,10300 S. Doty,(773) 785-9752,1719049,Saturday
2019-03-02,MERZ,4D,GRN,,IL,10300 S. Doty,(773) 568-8495,2873636,Saturday
2019-03-02,MERZ,LL,BLK,AV82318,IL,10300 S. Doty,(773) 568-8495,2873640,Saturday
2019-03-02,MITS,4D,GLD,,IL,10300 S. Doty,(773) 568-8495,2873657,Saturday
2019-03-02,NISS,4D,GRY,Z637620,IL,701 N. Sacramento,(773) 265-7605,6954465,Saturday
2019-03-02,NISS,4D,SIL,BA59523,IL,10300 S. Doty,(773) 568-8495,2873649,Saturday
2019-03-02,NISS,4D,GRY,4A198FF,IL,701 N. Sacramento,(773) 265-7605,6954448,Saturday
2019-03-02,NISS,4D,GLD,BE89288,IL,10300 S. Doty,(773) 568-8495,2873658,Saturday
2019-03-02,NISS,4D,BLK,AL35713,IL,10300 S. Doty,(773) 568-8495,2873596,Saturday
2019-03-02,NISS,4D,GRY,AW39084,IL,10300 S. Doty,(773) 568-8495,2873631,Saturday
2019-03-02,NISS,4D,RED,E732259,IL,701 N. Sacramento,(773) 265-7605,6954455,Saturday
2019-03-02,NISS,4D,BLK,AV40438,IL,701 N. Sacramento,(773) 265-7605,6954420,Saturday
2019-03-02,NISS,4T,SIL,S474420,IL,701 N. Sacramento,(773) 265-7605,6954360,Saturday
2019-03-02,NISS,4T,GRY,JBHH66,FL,10300 S. Doty,(773) 568-8495,2873589,Saturday
2019-03-02,NISS,4T,WHI,AZ35993,IL,701 N. Sacramento,(773) 265-7605,6954359,Saturday
2019-03-02,NISS,4T,SIL,AL24537,IL,701 N. Sacramento,(773) 265-7605,6954392,Saturday
2019-03-02,NISS,LL,BLK,AN25607,IL,701 N. Sacramento,(773) 265-7605,6954423,Saturday
2019-03-02,NISS,LL,GLD,S252056,IL,10300 S. Doty,(773) 568-8495,2873656,Saturday
2019-03-02,NISS,LL,WHI,Q144328,IL,701 N. Sacramento,(773) 265-7605,6954427,Saturday
2019-03-02,NISS,LL,GRY,Z744515,IL,701 N. Sacramento,(773) 265-7605,6954368,Saturday
