Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
2019-03-21T00:00:00.000,FORD,LL,,BLK,,IL,10300 S. Doty,(773) 785-9752,1719056
2019-03-21T00:00:00.000,FORD,LL,,WHI,AV87833,IL,10300 S. Doty,(773) 568-8495,2873702
2019-03-21T00:00:00.000,FORD,LL,,WHI,AV87833,IL,10300 S. Doty,(773) 568-8495,2873702
2019-03-21T00:00:00.000,FORD,LL,,GRY,ZU54014,IL,10300 S. Doty,(773) 568-8495,2873690
2019-03-21T00:00:00.000,FORD,LL,,BLK,AQ42432,IL,10300 S. Doty,(773) 568-8495,2873670
2019-03-21T00:00:00.000,FORD,LL,,SIL,AD63239,IL,701 N. Sacramento,(773) 265-7605,6954515
2019-03-21T00:00:00.000,FORD,LL,,WHI,2036064B,IL,10300 S. Doty,(773) 568-8495,2873669
2019-03-21T00:00:00.000,FORD,PK,,GRY,89492TB,IL,10300 S. Doty,(773) 568-8495,2873689
2019-03-21T00:00:00.000,FORD,PK,,RED,1847928B,IL,10300 S. Doty,(773) 568-8495,2873699
2019-03-21T00:00:00.000,FORD,VN,,WHI,2165220B,IL,10300 S. Doty,(773) 568-8495,2873692
2019-03-21T00:00:00.000,FORD,VN,,GRY,Q563257,IL,701 N. Sacramento,(773) 265-7605,6954546
2019-03-21T00:00:00.000,GMC,LL,,GRY,Q739007,IL,701 N. Sacramento,(773) 265-7605,6954482
2019-03-21T00:00:00.000,GMC,LL,,WHI,19545PT,IL,701 N. Sacramento,(773) 265-7605,6954550
2019-03-21T00:00:00.000,GMC,LL,,SIL,ZZ74558,IL,701 N. Sacramento,(773) 265-7605,6954508
2019-03-21T00:00:00.000,GMC,LL,,WHI,Q798562,IL,10300 S. Doty,(773) 568-8495,2873668
2019-03-21T00:00:00.000,HOND,4D,,BLK,E204212,IL,701 N. Sacramento,(773) 265-7605,6954544
2019-03-21T00:00:00.000,HOND,4D,,MAR,AQ75392,IL,701 N. Sacramento,(773) 265-7605,6954484
2019-03-21T00:00:00.000,HOND,4D,,GRY,909LPI,IN,701 N. Sacramento,(773) 265-7605,6954510
2019-03-21T00:00:00.000,HOND,4D,,SIL,WSB98,IL,701 N. Sacramento,(773) 265-7605,6954489
2019-03-21T00:00:00.000,HOND,4D,ACC,BGE,953T555,IL,701 N. Sacramento,(773) 265-7605,6954511
2019-03-21T00:00:00.000,HOND,4D,,WHI,Z742952,IL,701 N. Sacramento,(773) 265-7605,6954487
2019-03-21T00:00:00.000,HOND,4D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6954516
2019-03-21T00:00:00.000,HOND,4T,,WHI,Q835486,IL,701 N. Sacramento,(773) 265-7605,6954538
2019-03-21T00:00:00.000,HOND,HB,,BLK,BE56107,IL,10300 S. Doty,(773) 568-8495,2873660
2019-03-21T00:00:00.000,HOND,LL,CRV,GRN,MAKJR84,IL,400 E. Lower Wacker,(312) 744-7550,0201046
2019-03-21T00:00:00.000,HOND,LL,,SIL,Q769439,IL,701 N. Sacramento,(773) 265-7605,6954564
2019-03-21T00:00:00.000,HOND,LL,,MAR,A968280,IL,400 E. Lower Wacker,(312) 744-7550,0201039
2019-03-21T00:00:00.000,HOND,LL,,BLK,AX49800,IL,701 N. Sacramento,(773) 265-7605,6954533
2019-03-21T00:00:00.000,HOND,PK,,GRY,2536199B,IL,701 N. Sacramento,(773) 265-7605,6954549
2019-03-21T00:00:00.000,HYUN,2T,,BLK,AK71004,IL,701 N. Sacramento,(773) 265-7605,6954504
2019-03-21T00:00:00.000,HYUN,4D,,SIL,Q801565,IL,701 N. Sacramento,(773) 265-7605,6954553
2019-03-21T00:00:00.000,HYUN,4D,,SIL,Y987479,IL,400 E. Lower Wacker,(312) 744-7550,0201038
2019-03-21T00:00:00.000,HYUN,4D,,WHI,BB15008,IL,10300 S. Doty,(773) 568-8495,2873663
2019-03-21T00:00:00.000,HYUN,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2873662
2019-03-21T00:00:00.000,HYUN,4D,,BLK,BH57859,IL,701 N. Sacramento,(773) 265-7605,6954541
2019-03-21T00:00:00.000,HYUN,4D,,BLK,Z109750,IL,701 N. Sacramento,(773) 265-7605,6954514
2019-03-21T00:00:00.000,HYUN,4D,,SIL,Q801565,IL,701 N. Sacramento,(773) 265-7605,6954553
2019-03-21T00:00:00.000,INFI,4D,,SIL,S654520,IL,701 N. Sacramento,(773) 265-7605,6954479
2019-03-21T00:00:00.000,INFI,4T,,SIL,AW27315,IL,701 N. Sacramento,(773) 265-7605,6954503
2019-03-21T00:00:00.000,INFI,LL,,BLK,N220758,IL,701 N. Sacramento,(773) 265-7605,6954524
2019-03-21T00:00:00.000,JEEP,LL,,GRY,BA58316,IL,701 N. Sacramento,(773) 265-7605,6954532
2019-03-21T00:00:00.000,JEEP,LL,TK,BLK,P125977,IL,701 N. Sacramento,(773) 265-7605,6954471
2019-03-21T00:00:00.000,KIA,4D,,GRY,S497474,IL,701 N. Sacramento,(773) 265-7605,6954556
2019-03-21T00:00:00.000,KIA,LL,,GRY,Z222741,IL,701 N. Sacramento,(773) 265-7605,6954522
2019-03-21T00:00:00.000,LAND,LL,,GRY,AG34640,IL,701 N. Sacramento,(773) 265-7605,6954534
2019-03-21T00:00:00.000,LEXS,4D,,MAR,Q936885,IL,701 N. Sacramento,(773) 265-7605,6954490
2019-03-21T00:00:00.000,LEXS,4T,,DBL,312EKB,KY,701 N. Sacramento,(773) 265-7605,6954523
2019-03-21T00:00:00.000,LINC,4D,,SIL,627U023,IL,701 N. Sacramento,(773) 265-7605,6954509
2019-03-21T00:00:00.000,MAZD,LL,,SIL,AK31450,IL,400 E. Lower Wacker,(312) 744-7550,0201037
2019-03-21T00:00:00.000,MERC,4D,,GRY,SNB622,IL,400 E. Lower Wacker,(312) 744-7550,0201035
2019-03-21T00:00:00.000,MERC,4D,,SIL,VVVGJC,IL,701 N. Sacramento,(773) 265-7605,6954551
2019-03-21T00:00:00.000,MERC,LL,,SIL,BH36392,IL,701 N. Sacramento,(773) 265-7605,6954545
2019-03-21T00:00:00.000,MERZ,2D,,BLK,5664264,IL,10300 S. Doty,(773) 568-8495,2873685
2019-03-21T00:00:00.000,MERZ,LL,,BLK,AX90859,IL,701 N. Sacramento,(773) 265-7605,6954536
2019-03-21T00:00:00.000,MITS,4D,,RED,UYG6329,VA,701 N. Sacramento,(773) 265-7605,6954506
2019-03-21T00:00:00.000,MITS,LL,,BLK,V939517,IL,701 N. Sacramento,(773) 265-7605,6954548
2019-03-21T00:00:00.000,NISS,4D,,WHI,AH92363,IL,701 N. Sacramento,(773) 265-7605,6954472
2019-03-21T00:00:00.000,NISS,4D,,GRY,AX42380,IL,10300 S. Doty,(773) 568-8495,2873693
2019-03-21T00:00:00.000,NISS,4D,,BLK,AT54899,IL,701 N. Sacramento,(773) 265-7605,6954512
2019-03-21T00:00:00.000,NISS,4D,,GRY,6446WS,IL,10300 S. Doty,(773) 568-8495,2873687
2019-03-21T00:00:00.000,NISS,4D,,SIL,BK14080,IL,701 N. Sacramento,(773) 265-7605,6954543
2019-03-21T00:00:00.000,NISS,4D,,BLK,ZV99218,IL,10300 S. Doty,(773) 568-8495,2873694
2019-03-21T00:00:00.000,NISS,4D,,BLK,V889172,IL,400 E. Lower Wacker,(312) 744-7550,0201041
2019-03-21T00:00:00.000,NISS,4D,,BLK,997911,IL,701 N. Sacramento,(773) 265-7605,6954492
2019-03-21T00:00:00.000,NISS,4D,,BLK,AR87644,IL,701 N. Sacramento,(773) 265-7605,6954513
2019-03-21T00:00:00.000,NISS,4D,,SIL,Z838447,IL,10300 S. Doty,(773) 568-8495,2873701
2019-03-21T00:00:00.000,NISS,4D,,GRY,DYA3744,MI,701 N. Sacramento,(773) 265-7605,6954531
2019-03-21T00:00:00.000,NISS,4D,,SIL,AX14801,IL,701 N. Sacramento,(773) 265-7605,6954563
2019-03-21T00:00:00.000,NISS,4D,,BLK,AB30671,IL,701 N. Sacramento,(773) 265-7605,6954495
2019-03-21T00:00:00.000,NISS,4T,,BLU,Q836059,IL,701 N. Sacramento,(773) 265-7605,6954528
2019-03-21T00:00:00.000,NISS,4T,,BLK,AL94315,IL,701 N. Sacramento,(773) 265-7605,6954477
2019-03-21T00:00:00.000,NISS,LL,,WHI,365520,IL,10300 S. Doty,(773) 568-8495,2873700
2019-03-21T00:00:00.000,NISS,LL,,WHI,365520,IL,10300 S. Doty,(773) 568-8495,2873700
2019-03-21T00:00:00.000,NISS,LL,,BRO,K944981,IL,400 E. Lower Wacker,(312) 744-7550,0201032
2019-03-21T00:00:00.000,NISS,LL,,BLK,G699676,IL,701 N. Sacramento,(773) 265-7605,6954539
2019-03-21T00:00:00.000,NISS,LL,,RED,BB59407,IL,701 N. Sacramento,(773) 265-7605,6954519
2019-03-21T00:00:00.000,NISS,PK,,MAR,2184152B,IL,701 N. Sacramento,(773) 265-7605,6954542
2019-03-21T00:00:00.000,OLDS,4D,,GRN,BF14074,IL,10300 S. Doty,(773) 568-8495,2873661
2019-03-21T00:00:00.000,PONT,2D,,BLU,AX32070,IL,701 N. Sacramento,(773) 265-7605,6954497
2019-03-21T00:00:00.000,PONT,4D,,BLK,BE24797,IL,701 N. Sacramento,(773) 265-7605,6954474
2019-03-21T00:00:00.000,PORS,LL,,GRY,AB72682,IL,10300 S. Doty,(773) 568-8495,2873672
2019-03-21T00:00:00.000,SATU,2D,,BLK,E758973,IL,701 N. Sacramento,(773) 265-7605,6954537
2019-03-21T00:00:00.000,SATU,LL,,BLK,S362120,IL,10300 S. Doty,(773) 568-8495,2873691
2019-03-21T00:00:00.000,SUBA,SW,,LBL,S772853,IL,701 N. Sacramento,(773) 265-7605,6954476
2019-03-21T00:00:00.000,TOYO,4D,,WHI,Z828924,IL,701 N. Sacramento,(773) 265-7605,6954473
2019-03-21T00:00:00.000,TOYT,4D,,GRN,AU18639,IL,701 N. Sacramento,(773) 265-7605,6954494
2019-03-21T00:00:00.000,TOYT,4D,,TAN,AH25730,IL,701 N. Sacramento,(773) 265-7605,6954559
2019-03-21T00:00:00.000,TOYT,4D,,BLU,032J,FL,701 N. Sacramento,(773) 265-7605,6954540
2019-03-21T00:00:00.000,TOYT,4D,,BLU,Z254859,IL,701 N. Sacramento,(773) 265-7605,6954555
2019-03-21T00:00:00.000,TOYT,4D,,WHI,AJ84781,IL,10300 S. Doty,(773) 568-8495,2873676
2019-03-21T00:00:00.000,TOYT,4D,,BLK,AS95588,IL,701 N. Sacramento,(773) 265-7605,6954493
2019-03-21T00:00:00.000,TOYT,4D,,TAN,G391239,IL,400 E. Lower Wacker,(312) 744-7550,0201040
2019-03-21T00:00:00.000,TOYT,4D,,WHI,AU47866,IL,701 N. Sacramento,(773) 265-7605,6954561
2019-03-21T00:00:00.000,TOYT,4D,,RED,N337237,IL,400 E. Lower Wacker,(312) 744-7550,0201036
2019-03-21T00:00:00.000,TOYT,4T,,BLK,Z508405,IL,701 N. Sacramento,(773) 265-7605,6954527
2019-03-21T00:00:00.000,TOYT,LL,,GRN,AT90085,IL,701 N. Sacramento,(773) 265-7605,6954499
2019-03-21T00:00:00.000,TOYT,PK,,BLK,70060FF,IL,400 E. Lower Wacker,(312) 744-7550,0201044
2019-03-21T00:00:00.000,VOLK,2D,,YEL,AW18218,IL,701 N. Sacramento,(773) 265-7605,6954491
2019-03-21T00:00:00.000,VOLK,4D,,WHI,318753,IL,701 N. Sacramento,(773) 265-7605,6954507
2019-03-21T00:00:00.000,VOLK,4D,,WHI,AS82304,IL,10300 S. Doty,(773) 568-8495,2873696
2019-03-21T00:00:00.000,VOLK,4D,,GLD,228992,IL,10300 S. Doty,(773) 568-8495,2873666
2019-03-21T00:00:00.000,VOLK,4D,,BLK,A982051,IL,701 N. Sacramento,(773) 265-7605,6954554
2019-03-21T00:00:00.000,VOLK,4D,,SIL,S61441,IL,701 N. Sacramento,(773) 265-7605,6954558
2019-03-21T00:00:00.000,VOLK,4T,,WHI,AM30388,IL,701 N. Sacramento,(773) 265-7605,6954525
2019-03-21T00:00:00.000,VOLK,4T,,GRY,DWJ6658,IL,701 N. Sacramento,(773) 265-7605,6954520
2019-03-21T00:00:00.000,VOLK,4T,,SIL,AD64170,IL,701 N. Sacramento,(773) 265-7605,6954480
2019-03-21T00:00:00.000,VOLK,4T,,WHI,ZZ70418,IL,701 N. Sacramento,(773) 265-7605,6954547
2019-03-21T00:00:00.000,VOLK,4T,,WHI,AT87382,IL,701 N. Sacramento,(773) 265-7605,6954526
2019-03-20T00:00:00.000,ACUR,4D,,BLK,AS55877,IL,701 N. Sacramento,(773) 265-7605,6954416
2019-03-20T00:00:00.000,ACUR,LL,,WHI,AZ68916,IL,701 N. Sacramento,(773) 265-7605,6954358
2019-03-20T00:00:00.000,AUDI,4T,,GRY,321U324,IL,701 N. Sacramento,(773) 265-7605,6954348
2019-03-20T00:00:00.000,BMW,4D,,SIL,AV69501,IL,701 N. Sacramento,(773) 265-7605,6954429
2019-03-20T00:00:00.000,BUIC,4D,,RED,BG81934,IL,701 N. Sacramento,(773) 265-7605,6954456
2019-03-20T00:00:00.000,BUIC,LL,,TAN,AS62107,IL,10300 S. Doty,(773) 568-8495,2873633
2019-03-20T00:00:00.000,BUIC,VN,,BLK,652U929,IL,701 N. Sacramento,(773) 265-7605,6954363
2019-03-20T00:00:00.000,CADI,LL,,WHI,,,701 N. Sacramento,(773) 265-7605,6954466
2019-03-20T00:00:00.000,CHEV,2D,,YEL,AV88307,IL,701 N. Sacramento,(773) 265-7605,6954362
2019-03-20T00:00:00.000,CHEV,2D,,SIL,AV90650,IL,10300 S. Doty,(773) 568-8495,2873643
2019-03-20T00:00:00.000,CHEV,2T,,RED,AL13306,IL,701 N. Sacramento,(773) 265-7605,6954395
2019-03-20T00:00:00.000,CHEV,4D,,TAN,BB17782,IL,10300 S. Doty,(773) 568-8495,2873632
2019-03-20T00:00:00.000,CHEV,4D,,GRY,Z405844,IL,701 N. Sacramento,(773) 265-7605,6954411
2019-03-20T00:00:00.000,CHEV,4D,,GRY,BE24521,IL,701 N. Sacramento,(773) 265-7605,6954375
2019-03-20T00:00:00.000,CHEV,4D,,BLK,Q177372,IL,701 N. Sacramento,(773) 265-7605,6954435
2019-03-20T00:00:00.000,CHEV,4D,,WHI,Q527141,IL,10300 S. Doty,(773) 568-8495,2873637
2019-03-20T00:00:00.000,CHEV,4T,,BLK,AE64407,IL,701 N. Sacramento,(773) 265-7605,6954353
2019-03-20T00:00:00.000,CHEV,4T,,WHI,Q380608,IL,701 N. Sacramento,(773) 265-7605,6954334
2019-03-20T00:00:00.000,CHEV,4T,,GRY,AP86173,IL,701 N. Sacramento,(773) 265-7605,6954347
2019-03-20T00:00:00.000,CHEV,4T,,WHI,DL5267B,IL,10300 S. Doty,(773) 568-8495,2873606
2019-03-20T00:00:00.000,CHEV,LL,,SIL,V798753,IL,701 N. Sacramento,(773) 265-7605,6954463
2019-03-20T00:00:00.000,CHEV,LL,TK,BLK,S336999,IL,701 N. Sacramento,(773) 265-7605,6954453
2019-03-20T00:00:00.000,CHEV,LL,TK,SIL,605U746,IL,10300 S. Doty,(773) 568-8495,2873614
2019-03-20T00:00:00.000,CHEV,LL,,GRY,P219014,IL,701 N. Sacramento,(773) 265-7605,6954439
2019-03-20T00:00:00.000,CHEV,LL,TK,WHI,S238592,IL,701 N. Sacramento,(773) 265-7605,6954459
2019-03-20T00:00:00.000,CHEV,LL,,BLK,AC54525,IL,701 N. Sacramento,(773) 265-7605,6954340
2019-03-20T00:00:00.000,CHEV,LL,TK,BGE,997924,IL,701 N. Sacramento,(773) 265-7605,6954468
2019-03-20T00:00:00.000,CHEV,VN,TK,BGE,AEZ1203,WI,10300 S. Doty,(773) 568-8495,2873595
2019-03-20T00:00:00.000,CHEV,VN,,TAN,,IL,10300 S. Doty,(773) 785-9752,1719052
2019-03-20T00:00:00.000,CHRY,4D,,GRY,K293901,IN,10300 S. Doty,(773) 568-8495,2873600
2019-03-20T00:00:00.000,CHRY,4D,,GLD,130U710,IL,10300 S. Doty,(773) 785-9752,1719055
2019-03-20T00:00:00.000,CHRY,4D,,GRY,5849WS,IL,10300 S. Doty,(773) 568-8495,2873635
2019-03-20T00:00:00.000,CHRY,SW,,RED,V313564,IL,701 N. Sacramento,(773) 265-7605,6954464
2019-03-20T00:00:00.000,DODG,4D,,GRY,Q316509,IL,10300 S. Doty,(773) 568-8495,2873645
2019-03-20T00:00:00.000,DODG,4D,,BLK,V492338,IL,701 N. Sacramento,(773) 265-7605,6954430
2019-03-20T00:00:00.000,DODG,LL,,RED,675AHG,ND,701 N. Sacramento,(773) 265-7605,6954426
2019-03-20T00:00:00.000,DODG,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6954445
2019-03-20T00:00:00.000,DODG,LL,,TAN,AQ46768,IL,701 N. Sacramento,(773) 265-7605,6954436
2019-03-20T00:00:00.000,DODG,PK,,BLK,1905840B,IL,10300 S. Doty,(773) 785-9752,1719054
2019-03-20T00:00:00.000,DODG,PK,,SIL,1442008B,IL,10300 S. Doty,(773) 785-9752,1719047
2019-03-20T00:00:00.000,DODG,PK,TK,WHI,ZH9645,NC,701 N. Sacramento,(773) 265-7605,6954467
2019-03-20T00:00:00.000,DODG,SW,,BLK,,,10300 S. Doty,(773) 568-8495,2873650
2019-03-20T00:00:00.000,DODG,VN,TK,GLD,N215186,IL,10300 S. Doty,(773) 568-8495,2873597
2019-03-20T00:00:00.000,DODG,VN,,WHI,AR79614,IL,701 N. Sacramento,(773) 265-7605,6954442
2019-03-20T00:00:00.000,DODG,VN,,MAR,A88U901,IL,701 N. Sacramento,(773) 265-7605,6954336
2019-03-20T00:00:00.000,FIAT,2D,,GRN,AD58297,IL,701 N. Sacramento,(773) 265-1846,1538489
2019-03-20T00:00:00.000,FORD,4D,,SIL,Z473901,IL,10300 S. Doty,(773) 568-8495,2873654
2019-03-20T00:00:00.000,FORD,4D,,WHI,AH39960,IL,701 N. Sacramento,(773) 265-7605,6954425
2019-03-20T00:00:00.000,FORD,4D,,SIL,AS13940,IL,701 N. Sacramento,(773) 265-7605,6954339
2019-03-20T00:00:00.000,FORD,4D,,GLD,Q626975,IL,10300 S. Doty,(773) 568-8495,2873642
2019-03-20T00:00:00.000,FORD,4D,,RED,AG23790,IL,701 N. Sacramento,(773) 265-7605,6954378
2019-03-20T00:00:00.000,FORD,4D,,TAN,AZ78414,IL,10300 S. Doty,(773) 568-8495,2873598
2019-03-20T00:00:00.000,FORD,4D,,BLK,AT75697,IL,10300 S. Doty,(773) 568-8495,2873647
2019-03-20T00:00:00.000,FORD,4D,,GRY,BE20810,IL,10300 S. Doty,(773) 568-8495,2873605
2019-03-20T00:00:00.000,FORD,4D,,SIL,,,10300 S. Doty,(773) 568-8495,2873655
2019-03-20T00:00:00.000,FORD,4T,,SIL,ZU62252,IL,701 N. Sacramento,(773) 265-7605,6954350
2019-03-20T00:00:00.000,FORD,LL,TK,WHI,3761CC,IL,400 E. Lower Wacker,(312) 744-7550,0201026
2019-03-20T00:00:00.000,FORD,LL,,BLU,V841290,IL,701 N. Sacramento,(773) 265-7605,6954349
2019-03-20T00:00:00.000,FORD,LL,,BLK,AM30736,IL,701 N. Sacramento,(773) 265-7605,6954365
2019-03-20T00:00:00.000,FORD,LL,TK,GRN,,IL,701 N. Sacramento,(773) 265-7605,6954433
2019-03-20T00:00:00.000,FORD,SW,,GRN,H686769,IL,10300 S. Doty,(773) 785-9752,1719048
2019-03-20T00:00:00.000,FRHT,TR,TK,WHI,171023H,IL,701 N. Sacramento,(773) 265-1846,1538490
2019-03-20T00:00:00.000,GMC,LL,,WHI,Z474783,IL,10300 S. Doty,(773) 568-8495,2873604
2019-03-20T00:00:00.000,GMC,LL,TK,WHI,AE02246,AZ,10300 S. Doty,(773) 568-8495,2873629
2019-03-20T00:00:00.000,HOND,4D,,BLK,BF22738,IL,10300 S. Doty,(773) 568-8495,2873648
2019-03-20T00:00:00.000,HOND,4D,,TAN,F533994,IL,701 N. Sacramento,(773) 265-7605,6954469
2019-03-20T00:00:00.000,HOND,4T,,BLK,R732058,IL,10300 S. Doty,(773) 568-8495,2873621
2019-03-20T00:00:00.000,HOND,4T,,BLK,N662122,IL,701 N. Sacramento,(773) 265-7605,6954335
2019-03-20T00:00:00.000,HOND,PK,,GRY,2621251B,IL,10300 S. Doty,(773) 568-8495,2873630
2019-03-20T00:00:00.000,HYUN,2D,,SIL,BC83738,IL,701 N. Sacramento,(773) 265-7605,6954447
2019-03-20T00:00:00.000,HYUN,4D,,SIL,BA27243,IL,10300 S. Doty,(773) 568-8495,2873601
2019-03-20T00:00:00.000,HYUN,4D,,BLU,E419737,IL,400 E. Lower Wacker,(312) 744-7550,0201002
2019-03-20T00:00:00.000,HYUN,4T,,SIL,ZY29474,IL,701 N. Sacramento,(773) 265-7605,6954345
2019-03-20T00:00:00.000,HYUN,4T,,WHI,598U961,IL,10300 S. Doty,(773) 568-8495,2873602
2019-03-20T00:00:00.000,INFI,4D,,RED,BH39218,IL,10300 S. Doty,(773) 568-8495,2873613
2019-03-20T00:00:00.000,INFI,4D,,GRN,AQ81896,IL,701 N. Sacramento,(773) 265-7605,6954460
2019-03-20T00:00:00.000,INFI,4D,,SIL,Y171ZS,IL,701 N. Sacramento,(773) 265-7605,6954449
2019-03-20T00:00:00.000,INFI,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6954419
2019-03-20T00:00:00.000,INFI,LL,,GRY,AW23790,IL,10300 S. Doty,(773) 568-8495,2873651
2019-03-20T00:00:00.000,JEEP,LL,TK,SIL,V757277,IL,701 N. Sacramento,(773) 265-7605,6954440
2019-03-20T00:00:00.000,JEEP,LL,,GRY,W56749,IL,701 N. Sacramento,(773) 265-7605,6954443
2019-03-20T00:00:00.000,JEEP,LL,,GRY,ZEPPEBH,IL,701 N. Sacramento,(773) 265-7605,6954410
2019-03-20T00:00:00.000,JEEP,LL,TK,GRN,W974AB,MO,701 N. Sacramento,(773) 265-7605,6954462
2019-03-20T00:00:00.000,JEEP,LL,,WHI,AS43527,IL,701 N. Sacramento,(773) 265-7605,6954374
2019-03-20T00:00:00.000,JEEP,LL,,SIL,BA32095,IL,400 E. Lower Wacker,(312) 744-7550,0201025
2019-03-20T00:00:00.000,JEEP,LL,TK,GRY,Q475938,IL,10300 S. Doty,(773) 568-8495,2873639
2019-03-20T00:00:00.000,KIA,4D,,BGE,AX25303,IL,701 N. Sacramento,(773) 265-7605,6954457
2019-03-20T00:00:00.000,KIA,4D,,GRN,BF39100,IL,701 N. Sacramento,(773) 265-7605,6954371
2019-03-20T00:00:00.000,KIA,VN,,SIL,,IL,10300 S. Doty,(773) 568-8495,2873634
2019-03-20T00:00:00.000,LEXS,2T,,SIL,9219929,IL,701 N. Sacramento,(773) 265-7605,6954354
2019-03-20T00:00:00.000,LEXS,4D,,SIL,G186398,IL,701 N. Sacramento,(773) 265-7605,6954434
2019-03-20T00:00:00.000,LEXS,4T,,SIL,AT88588,IL,701 N. Sacramento,(773) 265-7605,6954341
2019-03-20T00:00:00.000,LINC,4D,,BLK,BA30563,IL,10300 S. Doty,(773) 785-9752,1719051
2019-03-20T00:00:00.000,MAZD,2D,,RED,AT56681,IL,701 N. Sacramento,(773) 265-7605,6954424
